medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
inhaled,inhaled,Breathed into the lungs.,1,0.93,1,Discharge Summary - Respiratory Distress,He also received inhaled as well as systemic corticosteroids.,,,
inhibitors,inhibitors,A substance that puts the brakes on a reaction.,1,0.93,1,Discharge Summary - 19,"Over the course of her hospitalization, the patient was started on antibiotic regimen and proton pump inhibitors for an episode of coffee-ground emesis.",,,
initiate,initiate,To kick off something.,1,0.93,1,Discharge Summary - Lymphoma,This was likely secondary to the need to initiate treatment with antibiotics secondary to infection.,,,
inspiration,inspiration,Inspiration is taking in air.,1,0.93,1,Otitis Media - Discharge Summary,"Chest x-ray showed a suboptimal inspiration, but no evidence of an acute process in the chest.,HOSPITAL COURSE: , The patient was admitted to the hospital and allowed a clear liquid diet.",,,
internal carotid,internal carotid,A blood vessel that brings blood to the brain.,1,0.93,1,CVA - Discharge Summary,Carotid ultrasound was reviewed and revealed a 50 to 69% obstruction of left internal carotid.,,,
internal mammary,internal mammary,A blood vessel in your chest that doctors use during heart surgery.,1,0.93,1,Chest Pain & Respiratory Insufficiency,"This demonstrated patent vein grafts and patent internal mammary vessel and so there was no obvious new disease.,She may continue in the future to have angina and she will have nitroglycerin available for that if needed.,Her blood pressure has been elevated and so instead of metoprolol, we have started her on Coreg 6.25 mg b.i.d.",,,
internal medicine,Internal Medicine,Internal Medicine deals with diagnosing and treating diseases specifically affecting internal organs and systems.,1,0.93,1,ORIF - Discharge Summary,"X and to Internal Medicine for management of multiple medical problems including hypothyroid, diabetes mellitus type 2, bronchitis, and congestive heart failure.,HOSPITAL COURSE: , The patient was admitted and consented for operation, and taken to the operating room for open reduction and internal fixation of right Schatzker III tibial plateau fracture and partial medial meniscectomy performed without incidence.",,,
interstitial fibrosis,interstitial fibrosis,A condition where lung scarring leads to breathing issues.,1,0.93,1,Discharge Summary - 7,"There was some nonspecific interstitial fibrosis, which was minimal.",,,
intrauterine,intrauterine,"It means ""inside the uterus.""",1,0.93,1,Neonatal Discharge Summary - 1,"ADMITTING DIAGNOSES:, Respiratory distress syndrome, intrauterine growth restriction, thrombocytopenia, hypoglycemia, retinal immaturity.,HISTORY OF PRESENTING ILLNESS: , The baby is an ex-32 weeks small for gestational age infant with birth weight 1102.",,,
intravenous antibiotic,intravenous antibiotic,Medication that kills bacteria administered through a vein.,1,0.93,1,Cardio/Pulmo Discharge Summary,He received intravenous antibiotic therapy with Levaquin.,,,
intravenous antibiotics,intravenous antibiotics,Medicine that kills bacteria and is given through a vein.,1,0.93,1,COPD - Discharge Summary,"Hemoglobin 10.7 and hematocrit 31.7.,HOSPITAL COURSE: , He was started on intravenous antibiotics, vigorous respiratory therapy, intravenous Solu-Medrol.",,,
intubate,intubate,Putting a tube into the windpipe to help someone breathe better.,1,0.93,1,COPD & Bronchitis - Discharge Summary,"Do not resuscitate/do not intubate.,HOSPITAL COURSE: , The patient was admitted from the office by Dr.",,,
invasion,invasion,Invading tissues means growing into nearby healthy cells or structures.,1,0.93,1,Hysterectomy - Discharge Summary - 2,Biopsy showed a microinvasive carcinoma of the cervix and a cone biopsy was performed on 02/12/2007 also showing microinvasive carcinoma with a 1 mm invasion.,,,
invasive,INVASIVE,"Describing something that invades or spreads into a place where it shouldn't be, like invasive plants in a garden.",1,0.93,1,Discharge Summary - ATV Accident,"CT of the brain without contrast (July 24, 2008).,DISPOSITION: ,Home with parents.,INVASIVE LINES: , None.,DISCHARGE INSTRUCTIONS: ,The patient was instructed that he can return home with his regular diet and he was asked not to do any strenuous activities, move furniture, lift heavy objects, or use his left upper extremity.",,,
ipratropium,Ipratropium,A medication that helps with breathing problems and lessens asthma symptoms.,1,0.93,1,Discharge Summary - 3,"She also received steroids, prednisolone 60 mg, and breathing treatments with albuterol, Ipratropium and her bronchodilator therapy was also optimized with theophylline.",,,
iron sulfate,Iron sulfate,A type of iron that helps with low iron levels in the blood.,1,0.93,1,Discharge Summary - 2,"Iron sulfate 325 mg b.i.d.,6.",,,
irritable,irritable,Easily upset and annoyed by people and things.,1,0.93,1,Intrauterine Pregnancy - Discharge Summary,"All routine screening labs were normal and she underwent a high-resolution ultrasound during pregnancy.,PAST MEDICAL HISTORY: , Significant for postpartum depression after her last baby as well as a cesarean.,ALLERGIES:, SHE HAS SEASONAL ALLERGIES.,MEDICATIONS:, She is taking vitamins and iron.,PHYSICAL EXAMINATION,GENERAL: An alert gravid woman in no distress.,ABDOMEN: Gravid, nontender, non-irritable, with an infant in the vertex presentation.",,,
isolated,isolated,To be by yourself and away from others.,1,0.93,1,Pyelonephritis - Discharge Summary,"Klebsiella was isolated in this urine, which was sensitive to Bactrim and she was discharged on p.o.",,,
iv antibiotic,IV antibiotic,Medication that kills bacteria administered through a vein.,1,0.93,1,Lap Chole - Discharge Summary,"So, the patient admitted to the Med/Surg floor initially and the patient was started on IV fluid as well as low-dose IV antibiotic and 2-D echocardiogram and EKG also was ordered.",,,
iv hydration,IV hydration,Getting fluids pumped directly into your bloodstream through a needle in a vein.,1,0.93,1,Death Summary - 2,She was continued on IV antibiotics and general IV hydration was started initially because of low blood pressure and low perfusion status.,,,
joint,joint,"Where two bones come together in your body, like your knees or elbows.",1,0.93,1,Discharge Summary - Multiple Trauma,"Pain in joint pelvic region/thigh.,18.",,,
klebsiella,Klebsiella,"A type of germ that can lead to various illnesses like lung infections, urinary tract infections, and diarrhea.",1,0.93,1,Pyelonephritis - Discharge Summary,"Klebsiella was isolated in this urine, which was sensitive to Bactrim and she was discharged on p.o.",,,
labia majora,labia majora,Part of the female genitalia on the outside.,1,0.93,1,Prematurity - Discharge Summary,"No masses or organomegaly.,GENITALIA: Normal female, but the clitoris is not covered by the labia majora.,NEUROLOGICAL: The infant has good Moro, grasp, and suck reflexes.,INSTRUCTIONS FOR CONTINUING CARE,The infant will be discharged home.",,,
laceration,laceration,A laceration is a cut on the skin or tissue.,1,0.93,1,Discharge Summary - Multiple Trauma,"He had a left tibial plateau fracture, right forearm fracture with ORIF, head laceration, and initially some symptoms of head injury.",,,
laparoscopy,laparoscopy,A surgery that uses a tool inserted through the stomach to see inside.,1,0.93,1,Cholecystitis - Discharge Summary,"Morbid obesity with bmi of 39.4.,PRINCIPAL PROCEDURE:, Laparoscopic cholecystectomy with laparoscopy converted to open common bile duct exploration and stone extraction.,HOSPITAL COURSE: , The patient is a 33-year-old female admitted with elevated bilirubin and probable common bile duct stone.",,,
laryngitis,laryngitis,"When your voice box gets swollen, you have laryngitis.",1,0.93,1,Laryngitis - Discharge,"DIAGNOSIS: , Chronic laryngitis, hoarseness.,HISTORY: ,The patient is a 68-year-old male, was referred to Medical Center's Outpatient Rehabilitation Department for skilled speech therapy secondary to voicing difficulties.",,,
laxative,laxative,A laxative is a medicine that helps you go poop.,1,0.93,1,Discharge Summary - Nephrology,"and was given prescription for pain medications as well as laxative.,DISPOSITION: , To home.,DISCHARGE CONDITION:, Good.,MEDICATIONS: ,Please see attached medication list.,INSTRUCTIONS: , The patient was instructed to contact Dr.",,,
left upper lobe,left upper lobe,The top part of the left lung.,1,0.93,1,Discharge Summary - 3,"Remote history of lung cancer with prior resection of the left upper lobe.,5.",,,
left ventricular ejection fraction,left ventricular ejection fraction,How well the heart's main pumping chamber pushes out blood.,1,0.93,1,Discharge Summary - 1,Impression: Normal left ventricular systolic function with estimated left ventricular ejection fraction of 55%.,,,
left ventricular hypertrophy,left ventricular hypertrophy,Your heart's main pumping chamber has grown bigger and thicker.,1,0.93,1,Discharge Summary - 1,There is mild concentric left ventricular hypertrophy.,,,
lethargic,lethargic,Feeling sluggish and lacking energy or mental sharpness.,1,0.93,1,Otitis Media - Discharge Summary,"He was noted to have some increased workup of breathing and parents returned to the office on the day of admission.,PAST MEDICAL HISTORY: , Significant for being born at 33 weeks' gestation with a birth weight of 5 pounds and 1 ounce.,PHYSICAL EXAMINATION: , On exam, he was moderately ill appearing and lethargic.",,,
leukocytosis,Leukocytosis,When your body has more white blood cells than usual.,1,0.93,1,CHF & Pleural Effusion - Discharge Summary,"Leukocytosis.,5.",,,
life support,life support,Helping someone stay alive and breathe with drugs or technology.,1,0.93,1,Death Summary - 1,"The patient's family requested for DNR, withdrawal of the life support.",,,
lightheadedness,lightheadedness,Feeling dizzy or almost faint.,1,0.93,1,Renal Disease - Discharge Summary,He reports this lightheadedness is made even worse when standing.,,,
liver function,Liver function,Liver function means checking how well your liver is working through blood tests.,1,0.93,1,ER Report - Chest Pain & Fever,Liver function panel is normal.,,,
liver metastases,liver metastases,Cancer that has spread to the liver from another part of the body.,1,0.93,1,Pancreatic Mass - Discharge Summary,"A thin-slice CT scan was performed, which revealed a 4 x 3 x 2 cm pancreatic mass with involved lymph nodes and ring enhancing lesions consistent with liver metastases.",,,
localized,localized,Limited to a specific region or area.,1,0.93,1,Discharge Summary - 7,These were localized to mid and lower lung zones.,,,
lovastatin,lovastatin,Medication for reducing cholesterol levels in blood.,1,0.93,1,Lap Chole - Discharge Summary,"2 tablets twice a day, lovastatin 20 mg p.o.",,,
low back pain,low back pain,Aching or discomfort in the lower back area.,1,0.93,1,Death Summary - 2,"Depression.,HISTORY OF PRESENT ILLNESS: , This 92-year-old lady with history of depression and chronic low back pain, osteoporosis, and congestive heart failure, was diagnosed having pneumonia approximately for at least 10 days prior to admission.",,,
lower extremities,lower extremities,"The lower part of the body, from the hips down to the toes.",1,0.93,1,Cellulitis - Discharge Summary,The patient had edema of his bilateral lower extremities.,,,
lung metastasis,lung metastasis,A cancer that has spread to the lung from another part of the body.,1,0.93,1,Multiple Medical Problems - Discharge Summary,"CT of the abdomen and pelvis revealed no metastasis, a CT of the chest revealed possible lung metastasis.",,,
lymphs,lymphs,Fluid that moves through the body's lymphatic system and fights off infections.,1,0.93,1,Discharge Summary - 16,"EXTREMITIES: Were without any cyanosis.,SIGNIFICANT LABS AND X-RAYS: ,She had a CBC done Garberville, which showed a white count of 12.4, with a differential of 10 segs, 82 lymphs, 8 monos, hemoglobin of 15, hematocrit 42, platelets 296,000, and a normal BMP.",,,
malalignment,malalignment,Malalignment means something is not properly aligned.,1,0.93,1,Discharge Summary - ATV Accident,This was confirmed with radiographic imaging showing that the chest and pelvis x-rays were negative for any acute injury and that the cervical spine x-ray was negative for fracture malalignment.,,,
malignancy,malignancy,Cancer that spreads and grows uncontrollably in the body.,1,0.93,1,Death Summary - 1,"Leukemoid reaction, likely secondary to malignancy.,10.",,,
malignant cells,malignant cells,Cancerous cells that can spread to other areas.,1,0.93,1,Death Summary - 1,"The patient had severe shortness of breath, chest pain, a left-sided chest tube was inserted, and pleural effusion was positive for malignant cells.",,,
mania,mania,Being in a state of mania means feeling extremely excited and hyper.,1,0.93,1,Discharge Summary - Lymphoma,"She began high-dose methotrexate in mid May 2008; courses of methotrexate have been complicated by prolonged methotrexate levels, mental confusion, and mania.",,,
mass effect,mass effect,When a lump keeps growing and hurts the tissue around it.,1,0.93,1,CVA - Discharge Summary,"Cerebrovascular accident with right arm weakness and MRI indicating acute/subacute infarct involving the left posterior parietal lobe without mass effect.,2.",,,
massage therapy,Massage therapy,Massage therapy is when someone uses their hands to relieve muscle tension and promote relaxation.,1,0.93,1,Discharge Summary - Mesothelioma,"Massage therapy consult.,HOSPITAL COURSE:, The patient's hospital course was unremarkable.",,,
maximum,maximum,The most something can be.,1,0.93,1,Mastoiditis - Discharge Summary,The child had a temperature maximum of 101.4 in the ER.,,,
mechanical ventilation,mechanical ventilation,A machine that helps with breathing.,1,0.93,1,Discharge Summary - 3,She was put on mechanical ventilation from 1/29 to 2/6/06.,,,
medical history,medical history,A record of a person's health issues and treatments they have received.,1,0.93,1,Pneumonia - Discharge Summary,Her medical history is significant for rheumatoid arthritis.,,,
mental health,Mental Health,"Mental health is about how our minds, emotions, and interactions with others, impact our thoughts, behaviors, and emotions.",1,0.93,1,Psychiatric Discharge Summary,The patient was discharged to return home to her parents and was referred to Community Mental Health Agencies.,,,
metabolic,metabolic,Metabolic refers to all the chemical processes in your body that keep it functioning.,1,0.93,1,Discharge Summary - Cerebral Palsy,"Comprehensive metabolic profile was unremarkable, except for a nonfasting blood sugar of 137, lactic acid was 0.8.",,,
metastases,metastases,Cancer cells spreading from one part of the body to another.,1,0.93,1,Death Summary - 1,"Hypercalcemia, likely secondary to paraneoplastic syndrome from the non-small cell lung CA, possible metastases to the bones.,9.",,,
methicillin-resistant staphylococcus aureus,methicillin-resistant staphylococcus aureus,A type of bacteria that is difficult to treat and can cause infections.,1,0.93,1,Cellulitis - Discharge Summary,"DISCHARGE DIAGNOSIS: ,Complex open wound right lower extremity complicated by a methicillin-resistant staphylococcus aureus cellulitis.,ADDITIONAL DISCHARGE DIAGNOSES:,1.",,,
microcytic,microcytic,"When your red blood cells are small, it's called microcytic anemia.",1,0.93,1,GI Bleed - Discharge Summary,CBC revealed microcytic anemia with hemoglobin of 8.9.,,,
microglia,microglia,Special cells in the brain and spinal cord that work as the main defenders against infection.,1,0.93,1,Goldenhar Syndrome - Discharge Summary,"Her left side of the face is deformed with microglia present, micrognathia present, and a moderate amount of torticollis.,VITAL SIGNS: Presently, her temperature is 98, pulse 152, respirations 36, weight is 3.98 kg, pulse oximetry on room air is 95%.,HEENT: Head is with anterior fontanelle open.",,,
milk of magnesia,Milk of Magnesia,A milky liquid made from magnesium hydroxide that helps with digestion or heartburn.,1,0.93,1,Discharge Summary - 13,"Milk of Magnesia suspension 30 mL daily for constipation.,9.",,,
mitral regurgitation,mitral regurgitation,"When a heart valve doesn't close properly, blood goes the wrong way: mitral regurgitation.",1,0.93,1,CVA - Discharge Summary,"An echocardiogram revealed mild concentric LVH with normal left ventricular function with an EF of 57%, moderate left atrial enlargement and diastolic dysfunction with mild mitral regurgitation.",,,
mitral stenosis,Mitral stenosis,A condition where there is a blockage in one of the heart valves due to the accumulation of plaque-like material.,1,0.93,1,Discharge Summary - 3,"Mitral stenosis.,4.",,,
mmhg,mmHg,A way to measure how much pressure there is.,1,0.93,1,Discharge Summary - 17,Her systolic blood pressure was 60-70 mmHg despite rather aggressive IV fluid management up to 250 mL an hour.,,,
mobilization,mobilization,To make a body part looser during surgery.,1,0.93,1,Gastric Bypass Summary,"There, DVT prophylaxis was continued with subcu heparin, early and frequent mobilization, and SCDs.",,,
modalities,modalities,A way to treat something.,1,0.93,1,Discharge Summary - Migraine,Sensation is intact in all modalities throughout.,,,
monitoring,monitoring,Keeping an eye on someone to see how they are progressing.,1,0.93,1,Discharge Summary - ATV Accident,The patient tolerated this procedure well and was returned to the Pediatric Intensive Care Unit for postsurgical followup and monitoring.,,,
monocytes,monocytes,A type of immune cell in the blood.,1,0.93,1,Otitis Media - Discharge Summary,"White blood cell count was 8.6 with 61% neutrophils, 21% lymphocytes, 17% monocytes, suggestive of a viral infection.",,,
mood disorder,mood disorder,Mood disorder = Serious mental illnesses like depression and bipolar disorder.,1,0.93,1,Discharge Summary - Multiple Trauma,"Episodic mood disorder.,12.",,,
morphology,morphology,Morphology is the study of the physical form and structure of living things.,1,0.93,1,Goldenhar Syndrome - Discharge Summary,"Hemoglobin is 10.4, hematocrit 30.8, and she has abnormal red blood cell morphology.",,,
multimodality,multimodality,Multimodality is using multiple treatments to help.,1,0.93,1,Speech Therapy - Discharge Summary - 1,"Since the initial evaluation, the patient has attended 60 outpatient speech therapy sessions, which have focussed on her receptive communication, expressive language, multimodality communication skills, and swallowing function and safety.,SHORT-TERM GOALS:,1.",,,
muscles,muscles,Muscles are tissues in the body that tighten and help us move.,1,0.93,1,Discharge Summary - Migraine,Sternocleidomastoid and trapezius muscles are full strength bilaterally.,,,
myelopathy,myelopathy,"Myelopathy is when the spinal cord tissue gets compressed, causing problems with its function.",1,0.93,1,Discharge Summary - Multiple Trauma,"Cervical disk displacement with myelopathy.,11.",,,
myocardial ischemia,myocardial ischemia,Not enough oxygen reaching the heart due to a lack of blood flow.,1,0.93,1,Discharge Summary - 9,"Questionable gastritis, questionable underlying myocardial ischemia.,2.",,,
myoclonic jerks,myoclonic jerks,"Sudden, uncontrollable muscle twitches.",1,0.93,1,Multiple Medical Problems - Discharge Summary,She was admitted due to a seizure and myoclonic jerks as well as hypoglycemia and anemia.,,,
nares,Nares,One of the two openings in your nose.,1,0.93,1,Otitis Media - Discharge Summary,Nares were patent.,,,
nasal flaring,nasal flaring,Flaring nostrils indicate difficulty breathing.,1,0.93,1,Bronchiolitis - Discharge Summary,"Mother was advised regarding signs and symptoms of increased respiratory distress, which includes tachypnea, increased retractions, grunting, nasal flaring etc.",,,
native,native,Native means something that was there first.,1,0.93,1,Discharge Summary - COPD,"Bronchitis.,HOSPITAL COURSE: ,The patient is a 65-year-old American-native Indian male, past medical history of heavy tobacco use, history of diabetes mellitus type 2, chronic anemia, COPD, coronary artery disease status post stent placement, who presented in the emergency room with increasing shortness of breath, cough productive for sputum, and orthopnea.",,,
natriuretic,natriuretic,A peptide that helps your body to get rid of sodium.,1,0.93,1,ER Report - Chest Pain & Fever,"Arthritis.,ADDITIONAL LABORATORY STUDIES:, B-natriuretic peptide was 26.",,,
nephrologist,nephrologist,A nephrologist is a doctor who specializes in treating kidney problems.,1,0.93,1,Lap Chole - Discharge Summary,The patient also seen by nephrologist and underwent dialysis.,,,
nervous system,nervous system,The nervous system is your body's network of nerve tissue that controls everything you do.,1,0.93,1,Discharge Summary - Lymphoma,"Central nervous system lymphoma.,2.",,,
neuro,Neuro,Having to do with the brain and nervous system.,1,0.93,1,Neurology - Discharge Summary,Neuro checks were done.,,,
neuromuscular,neuromuscular,Related to nerves and muscles.,1,0.93,1,Occupational Therapy Discharge Summary,"Treatment consisted of neuromuscular reeducation including therapeutic exercise to improve range of motion, strength, and coordination; functional mobility training; self-care training; cognitive retraining; caregiver instruction; and home exercise program.",,,
neuropathy,Neuropathy,Numbness and tingling from nerve damage.,1,0.93,1,Discharge Summary - 2,"Neuropathy.,6.",,,
neurovascular,neurovascular,It's when something has to do with both nerves and blood vessels.,1,0.93,1,Discharge Summary - ATV Accident,"In the operating room, his upper extremity was evaluated for neurovascular status and great care was taken to preserve these structures.",,,
niacin,niacin,"Niacin is Vitamin B3, needed in small amounts for the body to function properly.",1,0.93,1,Knee Surgery - Discharge Summary,"She reports having some right knee pain, which is most intense at a ""certain position."" The patient is unable to elaborate on which ""certain position"" causes her the most discomfort.,ALLERGIES:, NKDA.,PAST MEDICAL HISTORY: , Hypertension, hypothyroidism, degenerative joint disease, GERD, anxiety disorder, Morton neuroma of her feet bilaterally, and distant history of migraine headaches some 30 years ago.,MEDICATIONS:, On transfer, Celebrex, Coumadin, Colace, Synthroid, Lovenox, Percocet, Toprol XL, niacin, and trazodone.,PHYSICAL EXAMINATION:,VITAL SIGNS: Temperature 96.5, blood pressure 127/72, pulse 70, respiratory rate 20, 95% O2 saturation on room air.,GENERAL: No acute distress at the time of the exam except as mentioned above complains of right knee pain at ""certain position."",HEENT: Normocephalic.",,,
nodules,nodules,A lump in the body that can be cancerous or benign.,1,0.93,1,Death Summary - 1,"The patient had a CT scan of the chest, which revealed a left pleural effusion, extensive mediastinal mass, left hilar adenopathy, causing complete obstruction of the left lower lobe and the lingula and the left pulmonary vein, and the multiple nodules on the right side of his chest.",,,
nuclear stress test,nuclear stress test,A test to see how well blood flows to the heart by using a small amount of radioactive substance.,1,0.93,1,Discharge Summary - 18,"Of note, she had a nuclear stress test performed in February of this year, which was normal.",,,
occlusion,occlusion,Blockage.,1,0.93,1,Pancreatic Mass - Discharge Summary,",PLAN: , The patient should return for repeat ERCP if there are signs of stent occlusion such as fever, increased bilirubin, worsening pain.",,,
ocular,ocular,Relating to the eyes or vision.,1,0.93,1,Discharge Summary - Urology & Nephrology,"He had no oral, ocular, or nasal discharge.,LUNGS: Exam was normal without wheezing.,HEART: Without murmur or gallops.,ABDOMEN: Soft, without mass or tenderness with a well-healed flank incision.,GU: Uncircumcised male with bilaterally descended testes.,EXTREMITIES: He has full range of motion in all 4 extremities.,SKIN: Warm, pink, and dry.,NEUROLOGIC: Grossly intact.,BACK: He has normal back.",,,
omentum,omentum,A fold of tissue that wraps around organs in the abdomen.,1,0.93,1,Discharge Summary - 11,"There were some indications of chronic cholecystitis, a little bit of edema, mild edema and adhesions of omentum around the gallbladder.",,,
oophorectomy,oophorectomy,Surgical removal of one or two ovaries.,1,0.93,1,ER Report - Chest Pain & Fever,"She denies any rashes or skin lesions.,PAST MEDICAL HISTORY: ,Hypertension, diabetes, hyperlipidemia, particularly elevated triglycerides with a slightly elevated LDL at 81 with an new standard LDL of 74, diabetics with a bad family history for cardiovascular disease such as this patient does have, and postmenopausal hot flashes.,PAST SURGICAL HISTORY: ,Cholecystectomy, appendectomy, oophorectomy.,FAMILY HISTORY: , Positive for coronary artery disease in her father and brother in their 40s.,SOCIAL HISTORY: , She is married and does not smoke or drink nor did she ever.,PHYSICAL EXAMINATION: , On admission, temperature 99.4 degrees F., blood pressure 137/60, pulse 90 and regular without ectopy, respiratory rate 20 without unusual respiratory effort.",,,
opaque,opaque,Something that you can't see through.,1,0.93,1,Otitis Media - Discharge Summary,"Tympanic membranes were red and yellow, and opaque bilaterally.",,,
ophthalmology,OPHTHALMOLOGY,Ophthalmology is the study of the eye and eye problems.,1,0.93,1,Neonatal Discharge Summary - 1,"At the time of admission to the ABCD, the patient was not on any antibiotics and his clinically condition has remained stable.,HEMATOLOGY: , The patient is status post phototherapy at Madera and was started on iron.,OPHTHALMOLOGY: , Exam on 07/17/2006 showed immature retina.",,,
organ,organ,"A body part that does a specific job, like the heart or liver.",1,0.93,1,Discharge Summary - Urology & Nephrology,"Multiple urinary tract infection, solitary kidney, and previous surgeries as mentioned above.,REVIEW OF SYSTEMS:, A 14-organ system review of systems is negative except for the history of present illness.",,,
organism,organism,An organism is just a living thing.,1,0.93,1,Discharge Summary - 8,Hopefully by then we will have a final identification and susceptibility on the organism and the tularemia and leptospirosis serologies will return.,,,
organisms,organisms,Organisms are all living creatures.,1,0.93,1,Discharge Summary - 8,"The microbiology laboratory stated that the Gram-negative rod appeared to be anaerobic, thus raising the possibility of organisms like bacteroides.",,,
orthopedic surgeon,orthopedic surgeon,A bone doctor who takes care of bone and joint problems.,1,0.93,1,Leiomyosarcoma,The mass increased in size and she was seen by her primary care physician and referred to orthopedic surgeon.,,,
orthopedist,orthopedist,"Doctor who specializes in treating bone, muscle, and joint problems.",1,0.93,1,Discharge Summary - Multiple Trauma,"for anxiety and otherwise he is doing quite well.,The patient was told to follow up with his orthopedist Dr.",,,
osseous metastatic,osseous metastatic,Cancer that spreads to the bones.,1,0.93,1,Death Summary - 1,He was thus also a suspicion for osseous metastatic disease involving the right scapula with a left large pleural effusion.,,,
osteomyelitis,osteomyelitis,Osteomyelitis is when a bone gets infected and swollen.,1,0.93,1,Abscess with Cellulitis - Discharge Summary,X-ray is negative for osteomyelitis.,,,
otic,Otic,Related to the ear.,1,0.93,1,Mastoiditis - Discharge Summary,"Ciprodex Otic Solution in the right ear twice daily.,2.",,,
outbreak,outbreak,When a disease infects more people in an area than usual.,1,0.93,1,Discharge Summary - 8,"XYZ asked me to talk to the patient about any contact with animals, given the fact that we have had a recent outbreak of tularemia here in Utah.",,,
ovarian,ovarian,Related to the female reproductive gland that produces eggs.,1,0.93,1,BRCA-2 mutation,"The patient regained bowel function and was discharged on the morning of the fourth postoperative day.,OPERATIONS AND PROCEDURES: , Total abdominal hysterectomy/bilateral salpingo-oophorectomy with resection of ovarian fossa peritoneum en bloc on July 25, 2006.,PATHOLOGY: , A 105-gram uterus without dysplasia or cancer.,CONDITION ON DISCHARGE: , Stable.,PLAN: ,The patient will remain at rest initially with progressive ambulation after.",,,
oxide,oxide,Oxide is when oxygen is mixed with something else.,1,0.93,1,Discharge Summary - 3,"Her bronchospasm also responded to the aggressive bronchodilation and steroid therapy.,DISCHARGE MEDICATIONS:, Prednisolone 60 mg orally once daily, albuterol 2.5 mg nebulized every 4 hours, Atrovent Respules to be nebulized every 6 hours, Pulmicort 500 micrograms nebulized twice every 8 hours, Coumadin 5 mg orally once daily, magnesium oxide 200 mg orally once daily.,TRANSFER INSTRUCTIONS:, The patient is to be strictly kept on bi-level PAP of 15 I-PAP/E-PAP of 5 cm and FIO2 of 35% for most of the times during the day.",,,
oxybutynin,oxybutynin,Oxybutynin is a medication that helps relax the muscles in the bladder to decrease the urge to urinate.,1,0.93,1,CHF & Pleural Effusion - Discharge Summary,"He was placed on Prinivil, aspirin, oxybutynin, docusate, and Klor-Con.",,,
palatal,palatal,Palatal means having to do with the roof of your mouth.,1,0.93,1,Prematurity - Discharge Summary,"Nose and throat are patent without palatal defect.,NECK: Supple without clavicular fracture.,LUNGS: Clear to auscultation.,HEART: Regular rate without murmur, click or gallop present.,EXTREMITIES: Pulses are 2/4 for brachial and femoral.",,,
palate,Palate,The palate is the roof of your mouth.,1,0.93,1,Discharge Summary - Migraine,Palate and uvula elevated symmetrically.,,,
palpated,palpated,To check by feeling.,1,0.93,1,Leiomyosarcoma,ABC is a pleasant 66-year-old Caucasian female who first palpated a mass in the left posterior arm in spring of 2007.,,,
palpation,palpation,Feeling a part of the body with your hands.,1,0.93,1,Discharge Summary - Respiratory Distress,"Nontender to palpation.,GENITOURINARY: Deferred.,EXTREMITIES: Warm and well perfused.,DISCHARGE INSTRUCTIONS:, As follows:,1.",,,
palpitation,palpitation,"A palpitation is when your heart beats quickly, strongly, or irregularly due to things like stress, illness, or exertion.",1,0.93,1,Hip Surgery - Discharge Summar,"The patient denies any cardiopulmonary symptoms such as chest pain, palpitation, pain in the upper neck and down to her arm, difficulty breathing, shortness of breath, or hemoptysis.",,,
palsy,palsy,"A condition that causes a part of the body to not move properly, with muscles being either paralyzed or shaking.",1,0.93,1,Discharge Summary - 1,"On discharge, on his neurologic exam, he has a right facial palsy from the eye below, he has right upper extremity weakness with 0-1/5 muscle strength, right leg is 4-5/5, improved slurred speech.,2.",,,
pancreas,pancreas,"The pancreas is a bodily organ that produces fluids and insulin to aid in digestion, found behind the stomach.",1,0.93,1,Pancreatic Mass - Discharge Summary,"The patient, additionally, had a questionable pseudocyst in the tail of the pancreas.",,,
pancreatic cancer,pancreatic cancer,A type of cancer that starts in the pancreas and spreads to other parts of the body.,1,0.93,1,Pancreatic Mass - Discharge Summary,"Certainly, there are modest benefits, which can be obtained with chemotherapy in metastatic pancreatic cancer, though at some cost with morbidity.",,,
pancreatic duct,pancreatic duct,A tube that moves digestive juices from the pancreas to the intestines.,1,0.93,1,Pancreatic Mass - Discharge Summary,"This revealed a strictured pancreatic duct, as well as strictured bile duct.",,,
pancreatitis,pancreatitis,"When the pancreas gets inflamed, it's called pancreatitis, and it can be caused by different things.",1,0.93,1,Gastrointestinal Bleed - Discharge Summary,"I am hesitant to use Prilosec or Protonix because of his history of pancreatitis associated with Prilosec.,The patient's PT/INR was 1.03, PTT 25.8.",,,
paranasal sinuses,paranasal sinuses,Air pockets in your face bones around your nose.,1,0.93,1,Leiomyosarcoma,"Sinus CT, normal mini-CT of the paranasal sinuses.,HISTORY OF PRESENT ILLNESS: ,Ms.",,,
parenchyma,parenchyma,The important parts of an organ.,1,0.93,1,Discharge Summary - 19,"Lung parenchyma was otherwise clear.,Right hip x-ray showed that the prosthesis was in satisfactory position.",,,
paresthesia,paresthesia,A weird sensation like burning or tingling caused by nerve pressure or injury.,1,0.93,1,Discharge Summary - ATV Accident,"Moreover, the patient had no complaints of paresthesia.",,,
parietal,Parietal,Bones in your head.,1,0.93,1,Discharge Summary - Mesothelioma,"Parietal pleural biopsy.,CONSULTS:,Consults obtained during this hospitalization included:,1.",,,
