medical_term,plain_language_explanation,filtering_method
signs,"When you see signs, it means there might be a disease present.",README-based filtered glossary with task-specific patient-facing relevance filtering
signs or symptoms,Signs or symptoms are clues that show you might be sick or that something's not right.,README-based filtered glossary with task-specific patient-facing relevance filtering
sildenafil,A medication that helps with erection problems.,README-based filtered glossary with task-specific patient-facing relevance filtering
silicon catheter,A small tube placed in the body to drain or deliver fluids.,README-based filtered glossary with task-specific patient-facing relevance filtering
silicosis,A lung disease caused by inhaling silica dust.,README-based filtered glossary with task-specific patient-facing relevance filtering
silk,A type of thread that's used for stitching wounds.,README-based filtered glossary with task-specific patient-facing relevance filtering
simple mastectomy,A simple mastectomy is when a surgery takes out the entire breast.,README-based filtered glossary with task-specific patient-facing relevance filtering
simultaneous,Happening at the same time.,README-based filtered glossary with task-specific patient-facing relevance filtering
simultaneously,At the same time.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinoatrial node,Helps control the rhythm of your heartbeat.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinonasal,It means related to the sinuses and nasal passages.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinus,Air pockets in your face bones near your nose.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinus node,A small group of heart cells that regulate heart rate.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinus tachycardia,The heart beats faster than normal when you're not doing anything.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinus tachycardic,Fast heartbeat.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinuses,Air pockets in your face bones near your nose.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinusistis,Sinusitis is when the tissue lining your sinuses swells up or gets infected.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinusitis,Infection or swelling in the air cavities of your nose is known as sinusitis.,README-based filtered glossary with task-specific patient-facing relevance filtering
sinusoid,"Irregular tubes in the liver, spleen, and bone marrow that carry blood.",README-based filtered glossary with task-specific patient-facing relevance filtering
sinusoids,"Sinusoids are irregular blood vessels in the liver, spleen, and bone marrow.",README-based filtered glossary with task-specific patient-facing relevance filtering
sitting,Not standing or lying down.,README-based filtered glossary with task-specific patient-facing relevance filtering
sjogren,"A disease that impacts the glands producing moisture in the body, leading to dryness in areas like the eyes, mouth, and skin.",README-based filtered glossary with task-specific patient-facing relevance filtering
sjogren 's syndrome,"A condition that affects the glands in the body that produce moisture, leading to symptoms like dry eyes and mouth.",README-based filtered glossary with task-specific patient-facing relevance filtering
sjogren disease,"A disease that affects glands making it hard to produce moisture leading to symptoms like dry eyes, mouth, and skin.",README-based filtered glossary with task-specific patient-facing relevance filtering
skeleton,The skeleton is the framework of bones that protects and holds up the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
skin biopsy,Taking a small piece of skin to check for skin issues like growths or moles.,README-based filtered glossary with task-specific patient-facing relevance filtering
skin cancer,Skin cancer is when cancer develops in the skin tissues.,README-based filtered glossary with task-specific patient-facing relevance filtering
skin graft,Skin from one area of the body is moved to another area.,README-based filtered glossary with task-specific patient-facing relevance filtering
skin grafts,Skin grafts are when skin is taken from one area of the body and placed on a different area.,README-based filtered glossary with task-specific patient-facing relevance filtering
skin test,A skin test is a test that shows what substances a person may be allergic to.,README-based filtered glossary with task-specific patient-facing relevance filtering
skull,The skull is the bony structure that shields and houses the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
skullbase,The base of the skull is the bottom part of the skull.,README-based filtered glossary with task-specific patient-facing relevance filtering
sle,SLE is a chronic immune system disease where the body mistakenly attacks its own tissues.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep apnae,A condition where your breathing stops and starts while you're sleeping.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep apnea,A condition where breathing repeatedly stops and starts while sleeping.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep deprivation,Not getting enough sleep.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep disorder,A sleep disorder is when your sleep routine is all messed up.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep disordered breathing,Having trouble breathing properly while you sleep.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep hygiene,Good sleep habits and routines that help you consistently get a good night's sleep.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep lab,A sleep lab is a place where doctors can assess sleep-related issues while the patient is sleeping.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep studies,Sleep studies are tests that show how well you sleep and whether you have any sleep disorders.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep study,Tests to see how well you sleep and if you have any sleep issues.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleep-disordered breathing,Breathing irregularly while sleeping.,README-based filtered glossary with task-specific patient-facing relevance filtering
sleeve lobectomy,A sleeve lobectomy is a surgery where a portion of the lung is removed.,README-based filtered glossary with task-specific patient-facing relevance filtering
slides,A thin sample used for looking at cells under a microscope.,README-based filtered glossary with task-specific patient-facing relevance filtering
sloughing,"Shedding or getting rid of something, like when dead skin falls off.",README-based filtered glossary with task-specific patient-facing relevance filtering
small bowel,It's a long tube that helps digest food connecting the stomach to the large intestine.,README-based filtered glossary with task-specific patient-facing relevance filtering
small bowel resection,A surgery to cut out a damaged or blocked section of the small intestine.,README-based filtered glossary with task-specific patient-facing relevance filtering
small intestine,A long organ in your belly that helps absorb nutrients from food.,README-based filtered glossary with task-specific patient-facing relevance filtering
small lymphocytic lymphoma,Slow-growing lymphoma with too many immature white blood cells mainly in the lymph nodes.,README-based filtered glossary with task-specific patient-facing relevance filtering
smoldering myeloma,A slow-growing type of myeloma where abnormal plasma cells produce excessive amounts of a specific protein.,README-based filtered glossary with task-specific patient-facing relevance filtering
smooth,"Involuntary muscle tissue found in organs, skin, and arteries.",README-based filtered glossary with task-specific patient-facing relevance filtering
smooth muscle,"Smooth muscle is found in organs, skin, and arteries and works automatically without you having to think about it.",README-based filtered glossary with task-specific patient-facing relevance filtering
snellen eye,An eye chart with letters to test how well you can see things.,README-based filtered glossary with task-specific patient-facing relevance filtering
sob,Feeling like you can't catch your breath.,README-based filtered glossary with task-specific patient-facing relevance filtering
social history,"Information about a person's family, work, and hobbies that could affect their health.",README-based filtered glossary with task-specific patient-facing relevance filtering
social security number,A nine-digit number used by the U.S. government to identify individuals for tax and retirement benefits.,README-based filtered glossary with task-specific patient-facing relevance filtering
social worker,Someone who helps people and their families with their emotional or physical needs by providing support and connecting them with necessary services.,README-based filtered glossary with task-specific patient-facing relevance filtering
socket,"A socket is a hollow space or opening used as a holder for something, like how some bones are connected with ball and socket joints.",README-based filtered glossary with task-specific patient-facing relevance filtering
sodium,Sodium is a type of element that supports the functionality of the heart and other body parts.,README-based filtered glossary with task-specific patient-facing relevance filtering
sodium bicarbonate,A basic over-the-counter remedy used to ease heartburn and indigestion.,README-based filtered glossary with task-specific patient-facing relevance filtering
sodium channel,"Sodium channels help move sodium ions in and out of cells, crucial for nerve and muscle function.",README-based filtered glossary with task-specific patient-facing relevance filtering
sodium ferrate gluconate,Iron supplement used to treat low levels of iron in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
sodium ferric gluconate,A type of iron that helps treat low red blood cell levels.,README-based filtered glossary with task-specific patient-facing relevance filtering
sodium restriction,Cutting back on how much salt you consume.,README-based filtered glossary with task-specific patient-facing relevance filtering
soft diet,A soft diet is made up of easy-to-chew and digest foods that are usually cooked and mashed or blended.,README-based filtered glossary with task-specific patient-facing relevance filtering
soft palate,The soft palate is the fleshy part at the back of the roof of your mouth.,README-based filtered glossary with task-specific patient-facing relevance filtering
soft tissue,"Soft tissues refer to the non-bony structures in your body, like muscles, tendons, and ligaments.",README-based filtered glossary with task-specific patient-facing relevance filtering
soft tissue sarcoma,"A type of cancer that starts in the body's supporting tissue, like muscles or fat.",README-based filtered glossary with task-specific patient-facing relevance filtering
soft tissues,"Soft tissues are everything in your body that isn't bone or bone-like minerals - like muscles, tendons, ligaments, and membranes.",README-based filtered glossary with task-specific patient-facing relevance filtering
soleus,A broad muscle in the calf that assists in pointing the foot downward.,README-based filtered glossary with task-specific patient-facing relevance filtering
solid tumor,A solid tumor is a growth in the body made up of abnormal tissue without any fluid-filled areas.,README-based filtered glossary with task-specific patient-facing relevance filtering
soluble,Able to dissolve in a liquid.,README-based filtered glossary with task-specific patient-facing relevance filtering
solution,"A solution is a liquid that has multiple substances mixed together, often used to describe a drug dissolved in a liquid.",README-based filtered glossary with task-specific patient-facing relevance filtering
solvent,A substance that can dissolve something solid.,README-based filtered glossary with task-specific patient-facing relevance filtering
solvents,A liquid that can dissolve solids.,README-based filtered glossary with task-specific patient-facing relevance filtering
soma,A drug that helps to relax muscles that are causing pain.,README-based filtered glossary with task-specific patient-facing relevance filtering
somatic,Related to the physical body.,README-based filtered glossary with task-specific patient-facing relevance filtering
somatic mutation,A genetic change that can occur in most body cells after birth.,README-based filtered glossary with task-specific patient-facing relevance filtering
somatosensory,Related to feelings in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
somatotropin,A protein produced by the pituitary gland that regulates body growth and metabolism.,README-based filtered glossary with task-specific patient-facing relevance filtering
somnolence,Feeling really sleepy.,README-based filtered glossary with task-specific patient-facing relevance filtering
somnolent,Feeling tired and wanting to sleep.,README-based filtered glossary with task-specific patient-facing relevance filtering
sonogram,A sonogram is an image made using sound waves to see inside the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
sonographic,Creating images of the body's insides by sending sound waves.,README-based filtered glossary with task-specific patient-facing relevance filtering
sonography,Using sound waves to take pictures inside the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
sore throat,Throat pain and swelling.,README-based filtered glossary with task-specific patient-facing relevance filtering
sotalol,"A drug that helps with heart rhythm issues, belonging to the group of beta blockers.",README-based filtered glossary with task-specific patient-facing relevance filtering
sotos syndrome,A condition where a child grows too fast and has trouble learning.,README-based filtered glossary with task-specific patient-facing relevance filtering
spasm,A spasm is when a muscle tightens up and it really hurts and makes it hard to move that muscle.,README-based filtered glossary with task-specific patient-facing relevance filtering
spasms,When your muscles suddenly tighten up and hurt.,README-based filtered glossary with task-specific patient-facing relevance filtering
spastic hemiplegia,When one arm and leg on the same side of the body don't work properly due to cerebral palsy.,README-based filtered glossary with task-specific patient-facing relevance filtering
spastic quadriplegia,"When someone has spastic quadriplegia, all four of their limbs are weak or paralyzed due to cerebral palsy.",README-based filtered glossary with task-specific patient-facing relevance filtering
spasticity,"When muscles stay tight and contract for longer than normal, making it hard to move and talk smoothly.",README-based filtered glossary with task-specific patient-facing relevance filtering
spec,A spec is a small piece of tissue or fluid used for testing.,README-based filtered glossary with task-specific patient-facing relevance filtering
specialist,A specialist is a doctor or healthcare worker who is really good at one specific thing.,README-based filtered glossary with task-specific patient-facing relevance filtering
specialists,A specialist is a healthcare worker trained in one specific area.,README-based filtered glossary with task-specific patient-facing relevance filtering
specialties,"A specialty in medicine focused on a specific group of patients, diseases, skills, or philosophy.",README-based filtered glossary with task-specific patient-facing relevance filtering
specimen,Samples taken from the body for testing purposes.,README-based filtered glossary with task-specific patient-facing relevance filtering
spectacle,Glasses you wear to help you see better.,README-based filtered glossary with task-specific patient-facing relevance filtering
spectrophotometry,A lab method that measures the concentration of particles in a solution by passing light through it and analyzing how much light passes through.,README-based filtered glossary with task-specific patient-facing relevance filtering
speculum,A tool to help doctors see inside the body better by widening openings.,README-based filtered glossary with task-specific patient-facing relevance filtering
speech pathologist,"A speech pathologist is a specialist who helps people with issues related to speaking, voice, language, or swallowing.",README-based filtered glossary with task-specific patient-facing relevance filtering
speech pathology,Speech pathology is a type of therapy to help people with speaking or swallowing issues.,README-based filtered glossary with task-specific patient-facing relevance filtering
spep,A blood test that checks for certain proteins in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
spermatic cord,"A bundle of vessels, nerves, and ducts connecting to the testes.",README-based filtered glossary with task-specific patient-facing relevance filtering
spermatogenesis,The process in the testicles that creates mature sperm.,README-based filtered glossary with task-specific patient-facing relevance filtering
sphenoid sinuses,Air-filled spaces within the bones near the nose.,README-based filtered glossary with task-specific patient-facing relevance filtering
sphenoidal sinus,A hollow space in the bones near the nose.,README-based filtered glossary with task-specific patient-facing relevance filtering
sphincerotomy,A cut made into a muscle ring in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
sphincter of oddi,A valve that controls the flow of digestive juices into the small bowel.,README-based filtered glossary with task-specific patient-facing relevance filtering
sphincterotomies,A sphincterotomy is a procedure where a cut is made into a muscle band that controls flow through an opening.,README-based filtered glossary with task-specific patient-facing relevance filtering
sphincterotomy,Sphincterotomy: A procedure that involves cutting the sphincter muscles.,README-based filtered glossary with task-specific patient-facing relevance filtering
sphygmomanometer,A device used to measure blood pressure.,README-based filtered glossary with task-specific patient-facing relevance filtering
spiculated,Tissue with spiky surfaces.,README-based filtered glossary with task-specific patient-facing relevance filtering
spiculated mass,A spiky lump of tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
spider angioma,A cluster of blood vessels near the skin's surface called a spider angioma.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinal,"""Spinal means having to do with your spine.""",README-based filtered glossary with task-specific patient-facing relevance filtering
spinal canal,The spinal canal is the tube in your spine that holds your spinal cord.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinal column,Backbone.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinal cord,A nerve bundle running from the bottom of your head down the middle of your back.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinal fluid,Clear fluid in the brain and spinal cord that carries nutrients.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinal stenosis,"A condition where the spine's narrow canal gets compressed, causing pain and weakness.",README-based filtered glossary with task-specific patient-facing relevance filtering
spinal tap,A spinal tap is when a needle is inserted into the lower back to collect spinal fluid or deliver medication.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinal taps,A medical procedure where a needle goes into your lower back to take out fluid or administer medication.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinal thalamic tract,"A pathway in the spinal cord that carries pain, temperature, and touch signals to the brain.",README-based filtered glossary with task-specific patient-facing relevance filtering
spindle cell,Spindle cell: Cancer cells that look long and thin under a microscope.,README-based filtered glossary with task-specific patient-facing relevance filtering
spindle cell sarcoma,A cancer that starts in the body's connective tissues.,README-based filtered glossary with task-specific patient-facing relevance filtering
spindle cell tumor,A spindle cell tumor is a tumor made up of cells shaped like spindles.,README-based filtered glossary with task-specific patient-facing relevance filtering
spine cancer,Cancer that starts in the backbone or spinal cord.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinous,Spiky bony parts on your spine.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinous process,The bony bumps on the spine.,README-based filtered glossary with task-specific patient-facing relevance filtering
spinous processes,The pointy bones that stick out from the back of each spinal bone.,README-based filtered glossary with task-specific patient-facing relevance filtering
spiral ct,A quicker kind of CT scan.,README-based filtered glossary with task-specific patient-facing relevance filtering
spiral fracture,A spiral fracture is when a bone breaks in a twisted way.,README-based filtered glossary with task-specific patient-facing relevance filtering
spirochete,"A type of bacteria that can cause diseases like Lyme disease, syphilis, and leptospirosis.",README-based filtered glossary with task-specific patient-facing relevance filtering
spirometer,A spirometer is a device that measures the amount of air you inhale and exhale to check how well your lungs are working.,README-based filtered glossary with task-specific patient-facing relevance filtering
spirometry,A test that checks how well your lungs are functioning.,README-based filtered glossary with task-specific patient-facing relevance filtering
spironolactone,"A medication that helps control blood pressure and potassium levels, while also reducing excess fluid in the body.",README-based filtered glossary with task-specific patient-facing relevance filtering
spit,Spit means to forcefully expel saliva or mucus out of your mouth.,README-based filtered glossary with task-specific patient-facing relevance filtering
spits,Spitting is when you forcefully eject saliva or mucus from your mouth.,README-based filtered glossary with task-specific patient-facing relevance filtering
splenectomy,Removing the spleen through surgery because it impacts the blood composition.,README-based filtered glossary with task-specific patient-facing relevance filtering
splenic,A blood vessel that carries blood away from organs in the belly.,README-based filtered glossary with task-specific patient-facing relevance filtering
splenic rupture,"When the outer layer of the spleen breaks open, it causes blood to spill into the belly, which is a medical emergency.",README-based filtered glossary with task-specific patient-facing relevance filtering
splenic vein,A blood vessel in your belly that collects blood from nearby organs.,README-based filtered glossary with task-specific patient-facing relevance filtering
splenomegaly,"""Splenomegaly means your spleen is bigger than it should be.""",README-based filtered glossary with task-specific patient-facing relevance filtering
splenorenal,A link between the splenic vein and the left renal vein related to portal hypertension.,README-based filtered glossary with task-specific patient-facing relevance filtering
splint,A splint is something that keeps a body part stable and protected by limiting its movement.,README-based filtered glossary with task-specific patient-facing relevance filtering
splinted,A splint is something used to protect and keep a body part still.,README-based filtered glossary with task-specific patient-facing relevance filtering
splinting,A splint is something that protects and stops a body part from moving.,README-based filtered glossary with task-specific patient-facing relevance filtering
spondyloarthropathy,A group of diseases that cause inflammation and pain in the joints.,README-based filtered glossary with task-specific patient-facing relevance filtering
spondylodesis,Spinal fusion surgery to connect two or more spinal bones.,README-based filtered glossary with task-specific patient-facing relevance filtering
spondylotic,A condition where the spine degenerates.,README-based filtered glossary with task-specific patient-facing relevance filtering
sponge,"A sponge is a soft pad that soaks up blood and other fluids, often used in surgery or wound care.",README-based filtered glossary with task-specific patient-facing relevance filtering
sponges,A sponge is like a squishy pad that soaks up blood and fluids to clean wounds or during surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
spontaneous,Spontaneous means something happens out of the blue without outside influence.,README-based filtered glossary with task-specific patient-facing relevance filtering
spontaneous bacterial peritonitis,An infection in the abdomen's fluid that happens suddenly.,README-based filtered glossary with task-specific patient-facing relevance filtering
sprain,A sprain happens when the tissue connecting bones is stretched too much.,README-based filtered glossary with task-specific patient-facing relevance filtering
spurs,A spurs is a bony growth that forms where two bones almost touch each other at a joint.,README-based filtered glossary with task-specific patient-facing relevance filtering
sputum,Spit mixed with mucus and other stuff coughed up from your lungs.,README-based filtered glossary with task-specific patient-facing relevance filtering
squamous carcinoma,"A type of cancer that happens when thin, flat squamous cells grow out of control.",README-based filtered glossary with task-specific patient-facing relevance filtering
squamous cell,"Thin, flat cells found in skin and lining of organs in the body.",README-based filtered glossary with task-specific patient-facing relevance filtering
squamous cell carcinoma,A type of skin cancer that starts in the top layer of the skin cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
squamous cells,"Thin, flat skin cells found in the respiratory and digestive tracts.",README-based filtered glossary with task-specific patient-facing relevance filtering
squamous epithelial cells,"Thin, flat cells that are found in various parts of the body.",README-based filtered glossary with task-specific patient-facing relevance filtering
squamous epithelium,A type of skin cells that are flat and form the outer layer of the skin.,README-based filtered glossary with task-specific patient-facing relevance filtering
squamous intraepithelial lesion,A condition where cells grow abnormally on the surface of the cervix.,README-based filtered glossary with task-specific patient-facing relevance filtering
square,A square is a shape with equal sides and four right angles.,README-based filtered glossary with task-specific patient-facing relevance filtering
ssn,A unique nine-digit number given to U.S. citizens and residents for identification purposes.,README-based filtered glossary with task-specific patient-facing relevance filtering
ssri,A type of medication used to treat depression.,README-based filtered glossary with task-specific patient-facing relevance filtering
ssris,SSRIs are drugs that are used to treat depression.,README-based filtered glossary with task-specific patient-facing relevance filtering
stabilize,Not changing or shifting.,README-based filtered glossary with task-specific patient-facing relevance filtering
stabilized,Keeping something constant or unchanged.,README-based filtered glossary with task-specific patient-facing relevance filtering
stabilizes,Keeping something steady or constant.,README-based filtered glossary with task-specific patient-facing relevance filtering
stabilizing,Keeping things unchanged or steady.,README-based filtered glossary with task-specific patient-facing relevance filtering
stable,Stable means steady and unchanging.,README-based filtered glossary with task-specific patient-facing relevance filtering
stage,"Stage refers to how much cancer has spread in the body, determined by tests conducted prior to surgery.",README-based filtered glossary with task-specific patient-facing relevance filtering
stage i breast cancer,Breast cancer in its early stage with no spreading beyond the breast.,README-based filtered glossary with task-specific patient-facing relevance filtering
stage ii breast cancer,A type of breast cancer that is growing but limited to the breast tissue or nearby lymph nodes.,README-based filtered glossary with task-specific patient-facing relevance filtering
stage iv cervical cancer,Cervical cancer that has spread to other parts of the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
stage iv oropharyngeal cancer,"The cancer has spread to different parts of the body, possibly affecting the lymph nodes.",README-based filtered glossary with task-specific patient-facing relevance filtering
staghorn calculus,A kidney stone made of mineral salts.,README-based filtered glossary with task-specific patient-facing relevance filtering
staging,Evaluating how far cancer has spread in the body through tests and exams.,README-based filtered glossary with task-specific patient-facing relevance filtering
stained,Stained is when colors are used to study things under a microscope.,README-based filtered glossary with task-specific patient-facing relevance filtering
staining,"Staining is a way to label tissues, cells, or cell components for examination using a microscope.",README-based filtered glossary with task-specific patient-facing relevance filtering
stains,A way to spot cells in a tissue sample.,README-based filtered glossary with task-specific patient-facing relevance filtering
stair,Walking up or down steps.,README-based filtered glossary with task-specific patient-facing relevance filtering
stalk,A stalk is like a thin stem that holds up or connects parts of a plant or animal.,README-based filtered glossary with task-specific patient-facing relevance filtering
stamina,"Stamina is the power and endurance to handle physical tasks, stress, or sickness for a prolonged period.",README-based filtered glossary with task-specific patient-facing relevance filtering
staph,A type of bacteria that can lead to severe infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
staphylococci,A group of bacteria that can cause infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
staphylococcus,A type of bacteria that can cause infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
staphylococcus epidermidis,It's a common bacteria that lives on skin and can make some sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
staple,"A staple is a metal clip used to hold things together, like papers or skin.",README-based filtered glossary with task-specific patient-facing relevance filtering
stasis,Stasis is when blood or other body fluids slow down or stop moving.,README-based filtered glossary with task-specific patient-facing relevance filtering
stat,STAT means right away in healthcare.,README-based filtered glossary with task-specific patient-facing relevance filtering
static,Doesn't change.,README-based filtered glossary with task-specific patient-facing relevance filtering
stature,How tall someone is when they stand up.,README-based filtered glossary with task-specific patient-facing relevance filtering
status migrainosus,A really long and severe migraine that lasts for more than three days.,README-based filtered glossary with task-specific patient-facing relevance filtering
std,"STDs are infections that can spread through sexual contact and are caused by bacteria, viruses, or parasites.",README-based filtered glossary with task-specific patient-facing relevance filtering
steatosis,Having too much fat in the liver.,README-based filtered glossary with task-specific patient-facing relevance filtering
stellate,Having a star shape.,README-based filtered glossary with task-specific patient-facing relevance filtering
stem cell,A stem cell is a special cell that can turn into different types of cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
stem cell transplant,Swapping out bad cells for good ones that can turn into healthy cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
stenosed,"When something gets narrowed, like a blood vessel or valve, it's called stenosed, which can reduce the flow of blood or other fluids through it.",README-based filtered glossary with task-specific patient-facing relevance filtering
stenosing,"When a blood vessel or valve gets narrower, less blood can flow through it.",README-based filtered glossary with task-specific patient-facing relevance filtering
stensen salivary duct,Salivary duct in the parotid gland that carries saliva to the mouth.,README-based filtered glossary with task-specific patient-facing relevance filtering
stent,A stent is a tiny tube placed inside a blood vessel or duct to hold it open.,README-based filtered glossary with task-specific patient-facing relevance filtering
stenting,"A stent is like a tiny tube that is placed inside the body to keep a passage open, such as in blocked blood vessels.",README-based filtered glossary with task-specific patient-facing relevance filtering
stents,Small tubes put in your body to keep things open.,README-based filtered glossary with task-specific patient-facing relevance filtering
stereotactic,A method to precisely locate points within the brain or body.,README-based filtered glossary with task-specific patient-facing relevance filtering
stereotactic biopsy,"A biopsy technique that uses a computer and scanning device to locate and remove tissue from a specific area, often used for targeting tumors.",README-based filtered glossary with task-specific patient-facing relevance filtering
stereotactic breast biopsy,"A procedure to extract breast tissue for testing, guided by a 3D body map.",README-based filtered glossary with task-specific patient-facing relevance filtering
stereotatic radiosurgery,A precise radiation therapy that treats brain abnormalities and small tumors non-invasively with better accuracy and minimal damage to surrounding healthy tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
stereotypic,Something that keeps happening over and over again without any real reason.,README-based filtered glossary with task-specific patient-facing relevance filtering
sterile,Sterile means very clean and germ-free.,README-based filtered glossary with task-specific patient-facing relevance filtering
sterilize,To clean something by getting rid of all the germs.,README-based filtered glossary with task-specific patient-facing relevance filtering
sterilized,To clean something so it's germ-free.,README-based filtered glossary with task-specific patient-facing relevance filtering
sternal,In the middle of the front of the chest.,README-based filtered glossary with task-specific patient-facing relevance filtering
sternoclavicular,It's about the bones in your chest and shoulder area.,README-based filtered glossary with task-specific patient-facing relevance filtering
sternocleidomastoid,A muscle in the neck that helps turn and nod the head.,README-based filtered glossary with task-specific patient-facing relevance filtering
sternothyroid,A neck muscle.,README-based filtered glossary with task-specific patient-facing relevance filtering
sternothyroid muscle,A neck muscle that helps with swallowing and vocalization.,README-based filtered glossary with task-specific patient-facing relevance filtering
sternotomy,A sternotomy is when doctors cut and split open the chest bone to reach the heart and lungs during surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
sternum,"The sternum is a flat bone in the middle of your chest, also called the breastbone.",README-based filtered glossary with task-specific patient-facing relevance filtering
steroid cream,"A cream that helps with skin inflammation, itching, and swelling.",README-based filtered glossary with task-specific patient-facing relevance filtering
steroid therapy,Steroid therapy involves using steroid drugs to reduce the body's inflammation and swelling.,README-based filtered glossary with task-specific patient-facing relevance filtering
stethoscope,A tool that helps doctors listen to your heart and lungs.,README-based filtered glossary with task-specific patient-facing relevance filtering
stevens johnson syndrome,"A serious, potentially life-threatening skin condition with rapid onset of fever and severe rash, typically triggered by a bad reaction to medication.",README-based filtered glossary with task-specific patient-facing relevance filtering
sticture,A sticture is when a body tube gets abnormally narrow.,README-based filtered glossary with task-specific patient-facing relevance filtering
stimulants,"Drugs that make you feel happier, more energetic, and alert.",README-based filtered glossary with task-specific patient-facing relevance filtering
stimulate,"Excite, stir up, activate.",README-based filtered glossary with task-specific patient-facing relevance filtering
stimulation,Making something more active or alert.,README-based filtered glossary with task-specific patient-facing relevance filtering
stimuli,Things that make you react or feel things right away.,README-based filtered glossary with task-specific patient-facing relevance filtering
stis,Sexually transmitted infections are infections passed through sexual activity that can be caused by various germs like bacteria or viruses.,README-based filtered glossary with task-specific patient-facing relevance filtering
stitch,Using a needle and thread to close a wound.,README-based filtered glossary with task-specific patient-facing relevance filtering
stoma,A surgically made opening from the inside of the body to the outside.,README-based filtered glossary with task-specific patient-facing relevance filtering
stomachache,The term stomachache means a pain in the belly.,README-based filtered glossary with task-specific patient-facing relevance filtering
stomal,A stomal is a surgically made opening in the body that connects the inside to the outside.,README-based filtered glossary with task-specific patient-facing relevance filtering
stone,A stone is a hard clump of mineral salts that can form inside a part of your body.,README-based filtered glossary with task-specific patient-facing relevance filtering
stones,A lump formed in the body made of mineral salts.,README-based filtered glossary with task-specific patient-facing relevance filtering
stool,The stuff that comes out when you go to the bathroom.,README-based filtered glossary with task-specific patient-facing relevance filtering
stool guaiacs,"A test to find hidden blood in poop, indicating potential bowel bleeding.",README-based filtered glossary with task-specific patient-facing relevance filtering
stooling,Pooping is when you get rid of waste from your body through your bottom.,README-based filtered glossary with task-specific patient-facing relevance filtering
stools,Stools are the stuff that comes out when you go to the bathroom.,README-based filtered glossary with task-specific patient-facing relevance filtering
stoool,Poop.,README-based filtered glossary with task-specific patient-facing relevance filtering
stooped,Bent over or hunched forward.,README-based filtered glossary with task-specific patient-facing relevance filtering
stopcock,A stopcock is like a faucet that controls the flow of liquid in a tube.,README-based filtered glossary with task-specific patient-facing relevance filtering
strabismus,When your eyes don't line up properly.,README-based filtered glossary with task-specific patient-facing relevance filtering
strangulated,When something blocks blood flow to the intestines.,README-based filtered glossary with task-specific patient-facing relevance filtering
strangulation,Choking someone by squeezing their neck to cut off airflow.,README-based filtered glossary with task-specific patient-facing relevance filtering
strep,Strep is a certain type of germ that can make people sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
strep throat,"A bacterial infection that makes your throat hurt, turn red, and swell up.",README-based filtered glossary with task-specific patient-facing relevance filtering
